date,AOR
2022-09-20,46.8439
2022-09-21,46.4156
2022-09-22,46.087
2022-09-23,45.4096
2022-09-26,44.8618
2022-09-27,44.6925
2022-09-28,45.4096
2022-09-29,44.9116
2022-09-30,44.6028
2022-10-03,45.32
2022-10-04,46.33
2022-10-05,46.07
2022-10-06,45.73
2022-10-07,44.98
2022-10-10,44.73
2022-10-11,44.56
2022-10-12,44.41
2022-10-13,44.98
2022-10-14,44.27
2022-10-17,44.98
2022-10-18,45.33
2022-10-19,44.76
2022-10-20,44.7
2022-10-21,45.37
2022-10-24,45.46
2022-10-25,46.0
2022-10-26,46.13
2022-10-27,45.94
2022-10-28,46.35
2022-10-31,46.03
2022-11-01,46.17
2022-11-02,45.67
2022-11-03,45.28
2022-11-04,46.04
2022-11-07,46.17
2022-11-08,46.55
2022-11-09,45.88
2022-11-10,47.78
2022-11-11,48.11
2022-11-14,47.88
2022-11-15,48.25
2022-11-16,48.14
2022-11-17,47.95
2022-11-18,48.12
2022-11-21,47.87
2022-11-22,48.29
2022-11-23,48.59
2022-11-25,48.71
2022-11-28,48.18
2022-11-29,48.19
2022-11-30,49.2
2022-12-01,49.42
2022-12-02,49.39
2022-12-05,48.84
2022-12-06,48.57
2022-12-07,48.66
2022-12-08,48.87
2022-12-09,48.56
2022-12-12,48.67
2022-12-13,49.23
2022-12-14,49.2
2022-12-15,48.44
2022-12-16,48.12
2022-12-19,47.77
2022-12-20,47.8
2022-12-21,48.27
2022-12-22,47.77
2022-12-23,47.61
2022-12-27,47.52
2022-12-28,47.1
2022-12-29,47.67
2022-12-30,47.16
2023-01-03,47.51
2023-01-04,47.84
2023-01-05,47.5
2023-01-06,48.52
2023-01-09,48.57
2023-01-10,48.65
2023-01-11,49.12
2023-01-12,49.45
2023-01-13,49.61
2023-01-17,49.53
2023-01-18,49.3
2023-01-19,49.1
2023-01-20,49.58
2023-01-23,49.9
2023-01-24,49.91
2023-01-25,49.91
2023-01-26,50.08
2023-01-27,50.14
2023-01-30,49.69
2023-01-31,50.07
2023-02-01,50.65
2023-02-02,50.91
